dst,cid,dci,next,pattern,Label
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,0
6,6,6,6,6,0
0,0,0,0,0,0
15,15,15,11,15,0
8,8,8,3,8,0
9,9,9,5,9,0
14,14,14,8,14,0
0,0,0,0,0,0
3,3,3,0,3,0
3,3,3,2,3,0
12,12,12,12,12,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
23,23,23,19,23,0
15,15,15,11,15,0
0,0,0,0,0,0
0,0,0,0,0,0
2,2,2,2,2,0
11,11,11,7,11,0
4,4,4,4,4,0
17,17,17,13,17,0
18,18,18,10,18,0
14,14,11,14,14,0
10,10,7,6,10,0
9,9,8,6,9,0
2,2,0,2,2,0
5,5,1,5,5,0
20,20,13,15,20,0
9,9,1,8,9,0
12,12,12,8,12,0
6,6,0,6,6,0
0,0,0,0,0,0
8,8,0,8,8,0
0,0,0,0,0,0
1,1,1,0,1,0
13,13,13,6,13,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,0,1,0
10,10,10,8,10,0
15,15,15,11,15,0
0,0,0,0,0,0
5,5,5,1,5,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,2,2,0,2,0
13,13,13,7,13,0
11,11,11,11,11,0
16,16,16,13,16,0
1,1,1,1,1,0
7,7,7,3,7,0
0,0,0,0,0,0
8,8,8,4,8,0
2,2,2,0,2,0
9,9,9,8,9,0
21,21,21,17,21,0
10,10,10,6,10,0
6,6,6,2,6,0
10,10,10,10,10,0
1,1,1,0,1,0
0,0,0,0,0,0
6,6,6,1,6,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
7,7,7,4,7,0
1,1,1,1,1,0
9,9,9,6,9,0
3,3,3,3,3,0
0,0,0,0,0,0
15,15,15,12,15,0
0,0,0,0,0,0
0,0,0,0,0,0
11,11,11,7,11,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
17,17,17,5,17,0
8,8,8,8,8,0
